Probe	Chr	Start	End
Chr1:34568969-34569144 UNK (176 bp)	1	34568969	34569144
Chr1:34571718-34571998 UNK (281 bp)	1	34571718	34571998
Chr1:34956717-34956913 UNK (197 bp)	1	34956717	34956913
Chr1:35056229-35056437 UNK (209 bp)	1	35056229	35056437
Chr1:35135727-35135929 UNK (203 bp)	1	35135727	35135929
Chr1:35430032-35430222 UNK (191 bp)	1	35430032	35430222
Chr1:37211361-37211563 UNK (203 bp)	1	37211361	37211563
Chr1:37212030-37212304 UNK (275 bp)	1	37212030	37212304
Chr1:37339582-37339818 UNK (237 bp)	1	37339582	37339818
Chr1:37518664-37518888 UNK (225 bp)	1	37518664	37518888
Chr1:37970457-37970635 UNK (179 bp)	1	37970457	37970635
Chr1:38900458-38900643 UNK (186 bp)	1	38900458	38900643
Chr1:39005718-39005890 UNK (173 bp)	1	39005718	39005890
Chr1:40365763-40365964 UNK (202 bp)	1	40365763	40365964
Chr1:40577707-40577899 UNK (193 bp)	1	40577707	40577899
Chr1:40721944-40722105 UNK (162 bp)	1	40721944	40722105
Chr1:41134229-41134413 UNK (185 bp)	1	41134229	41134413
Chr1:41178719-41179009 UNK (291 bp)	1	41178719	41179009
Chr1:41989761-41989971 UNK (211 bp)	1	41989761	41989971
Chr1:41993641-41993961 UNK (321 bp)	1	41993641	41993961
Chr1:42232132-42232410 UNK (279 bp)	1	42232132	42232410
Chr1:43117665-43117910 UNK (246 bp)	1	43117665	43117910
Chr1:43178121-43178306 UNK (186 bp)	1	43178121	43178306
Chr1:43629471-43629865 UNK (395 bp)	1	43629471	43629865
Chr1:43672506-43672716 UNK (211 bp)	1	43672506	43672716
Chr1:44395658-44395859 UNK (202 bp)	1	44395658	44395859
Chr1:44685743-44685915 UNK (173 bp)	1	44685743	44685915
Chr1:44772251-44772466 UNK (216 bp)	1	44772251	44772466
Chr1:44876021-44876251 UNK (231 bp)	1	44876021	44876251
Chr1:45167450-45167617 UNK (168 bp)	1	45167450	45167617
Chr1:45180667-45180932 UNK (266 bp)	1	45180667	45180932
Chr1:45181191-45181434 UNK (244 bp)	1	45181191	45181434
Chr1:45182821-45183054 UNK (234 bp)	1	45182821	45183054
Chr1:45247524-45247828 UNK (305 bp)	1	45247524	45247828
Chr1:45273416-45273565 UNK (150 bp)	1	45273416	45273565
Chr1:45285983-45286210 UNK (228 bp)	1	45285983	45286210
Chr1:45323457-45323660 UNK (204 bp)	1	45323457	45323660
Chr1:45725591-45725843 UNK (253 bp)	1	45725591	45725843
Chr1:46101998-46102192 UNK (195 bp)	1	46101998	46102192
Chr1:46290830-46290920 UNK (91 bp)	1	46290830	46290920
Chr1:46628202-46628381 UNK (180 bp)	1	46628202	46628381
Chr1:46794586-46794776 UNK (191 bp)	1	46794586	46794776
Chr1:46847583-46847775 UNK (193 bp)	1	46847583	46847775
Chr1:47009005-47009163 UNK (159 bp)	1	47009005	47009163
Chr1:47054192-47054458 UNK (267 bp)	1	47054192	47054458
Chr1:47170193-47170428 UNK (236 bp)	1	47170193	47170428
Chr1:47956681-47956877 UNK (197 bp)	1	47956681	47956877
Chr1:48152702-48153114 UNK (413 bp)	1	48152702	48153114
Chr1:48209913-48210111 UNK (199 bp)	1	48209913	48210111
Chr1:48211530-48211714 UNK (185 bp)	1	48211530	48211714
Chr1:48277298-48277478 UNK (181 bp)	1	48277298	48277478
Chr1:48279861-48280075 UNK (215 bp)	1	48279861	48280075
Chr1:48280899-48281100 UNK (202 bp)	1	48280899	48281100
Chr1:48317222-48317426 UNK (205 bp)	1	48317222	48317426
Chr1:48366756-48367048 UNK (293 bp)	1	48366756	48367048
Chr1:48367606-48367814 UNK (209 bp)	1	48367606	48367814
Chr1:48461169-48461380 UNK (212 bp)	1	48461169	48461380
Chr1:49006305-49006494 UNK (190 bp)	1	49006305	49006494
Chr1:49095616-49095859 UNK (244 bp)	1	49095616	49095859
Chr1:49130109-49130309 UNK (201 bp)	1	49130109	49130309
Chr1:49259641-49259881 UNK (241 bp)	1	49259641	49259881
Chr1:49563719-49563996 UNK (278 bp)	1	49563719	49563996
Chr1:49742076-49742334 UNK (259 bp)	1	49742076	49742334
Chr1:49832220-49832432 UNK (213 bp)	1	49832220	49832432
Chr1:49875870-49876183 UNK (314 bp)	1	49875870	49876183
Chr1:49919564-49919869 UNK (306 bp)	1	49919564	49919869
Chr1:49957916-49958195 UNK (280 bp)	1	49957916	49958195
Chr1:49979173-49979355 UNK (183 bp)	1	49979173	49979355
Chr1:50908140-50908340 UNK (201 bp)	1	50908140	50908340
Chr1:51023403-51023726 UNK (324 bp)	1	51023403	51023726
Chr1:51475064-51475284 UNK (221 bp)	1	51475064	51475284
Chr1:51702030-51702315 UNK (286 bp)	1	51702030	51702315
Chr1:51703952-51704219 UNK (268 bp)	1	51703952	51704219
Chr1:51936798-51937050 UNK (253 bp)	1	51936798	51937050
Chr1:52171929-52172122 UNK (194 bp)	1	52171929	52172122
Chr1:52172499-52172735 UNK (237 bp)	1	52172499	52172735
Chr1:52175122-52175397 UNK (276 bp)	1	52175122	52175397
Chr1:52839679-52839870 UNK (192 bp)	1	52839679	52839870
Chr1:54444990-54445206 UNK (217 bp)	1	54444990	54445206
Chr1:54445491-54445713 UNK (223 bp)	1	54445491	54445713
Chr1:54898426-54898671 UNK (246 bp)	1	54898426	54898671
Chr1:55024895-55025235 UNK (341 bp)	1	55024895	55025235
Chr1:55496241-55496610 UNK (370 bp)	1	55496241	55496610
Chr1:55500569-55500644 UNK (76 bp)	1	55500569	55500644
Chr1:56368510-56368834 UNK (325 bp)	1	56368510	56368834
Chr1:56611541-56611746 UNK (206 bp)	1	56611541	56611746
Chr1:57566772-57567066 UNK (295 bp)	1	57566772	57567066
Chr1:58056087-58056288 UNK (202 bp)	1	58056087	58056288
Chr1:58129847-58130063 UNK (217 bp)	1	58129847	58130063
Chr1:58131511-58131799 UNK (289 bp)	1	58131511	58131799
Chr1:58269927-58270120 UNK (194 bp)	1	58269927	58270120
Chr1:58271188-58271501 UNK (314 bp)	1	58271188	58271501
Chr1:58374846-58375118 UNK (273 bp)	1	58374846	58375118
Chr1:58492757-58493070 UNK (314 bp)	1	58492757	58493070
Chr1:58563785-58564091 UNK (307 bp)	1	58563785	58564091
Chr1:58624555-58624816 UNK (262 bp)	1	58624555	58624816
Chr1:59612138-59612444 UNK (307 bp)	1	59612138	59612444
Chr1:60379251-60379440 UNK (190 bp)	1	60379251	60379440
Chr1:60381434-60381619 UNK (186 bp)	1	60381434	60381619
Chr1:60439699-60439856 UNK (158 bp)	1	60439699	60439856
Chr1:60466154-60466354 UNK (201 bp)	1	60466154	60466354
Chr1:60512580-60512828 UNK (249 bp)	1	60512580	60512828
Chr1:60641131-60641353 UNK (223 bp)	1	60641131	60641353
Chr1:60645530-60645721 UNK (192 bp)	1	60645530	60645721
Chr1:60804152-60804405 UNK (254 bp)	1	60804152	60804405
Chr1:61946170-61946514 UNK (345 bp)	1	61946170	61946514
Chr1:62700650-62700985 UNK (336 bp)	1	62700650	62700985
Chr1:62704404-62704685 UNK (282 bp)	1	62704404	62704685
Chr1:63240791-63241083 UNK (293 bp)	1	63240791	63241083
Chr1:63398498-63398765 UNK (268 bp)	1	63398498	63398765
Chr1:64278023-64278222 UNK (200 bp)	1	64278023	64278222
Chr1:64351740-64351954 UNK (215 bp)	1	64351740	64351954
Chr1:64788200-64788378 UNK (179 bp)	1	64788200	64788378
Chr1:65292214-65292305 UNK (92 bp)	1	65292214	65292305
Chr1:65560577-65560989 UNK (413 bp)	1	65560577	65560989
Chr1:65564128-65564338 UNK (211 bp)	1	65564128	65564338
Chr1:65613531-65613734 UNK (204 bp)	1	65613531	65613734
Chr1:65644201-65644423 UNK (223 bp)	1	65644201	65644423
Chr1:65646244-65646540 UNK (297 bp)	1	65646244	65646540
Chr1:65768296-65768374 UNK (79 bp)	1	65768296	65768374
Chr1:65874086-65874263 UNK (178 bp)	1	65874086	65874263
Chr1:65883307-65883503 UNK (197 bp)	1	65883307	65883503
Chr1:65884619-65884908 UNK (290 bp)	1	65884619	65884908
Chr1:66104762-66105035 UNK (274 bp)	1	66104762	66105035
Chr1:66106098-66106328 UNK (231 bp)	1	66106098	66106328
Chr1:66185743-66185943 UNK (201 bp)	1	66185743	66185943
Chr1:66188026-66188257 UNK (232 bp)	1	66188026	66188257
Chr1:66201062-66201273 UNK (212 bp)	1	66201062	66201273
Chr1:66665284-66665489 UNK (206 bp)	1	66665284	66665489
Chr1:66824417-66824640 UNK (224 bp)	1	66824417	66824640
Chr1:67080262-67080662 UNK (401 bp)	1	67080262	67080662
Chr1:67084008-67084350 UNK (343 bp)	1	67084008	67084350
Chr1:67412745-67412944 UNK (200 bp)	1	67412745	67412944
Chr1:67549833-67550069 UNK (237 bp)	1	67549833	67550069
Chr1:67666014-67666334 UNK (321 bp)	1	67666014	67666334
Chr1:67784230-67784437 UNK (208 bp)	1	67784230	67784437
Chr1:68007992-68008162 UNK (171 bp)	1	68007992	68008162
Chr1:68876605-68876837 UNK (233 bp)	1	68876605	68876837
Chr1:69212230-69212450 UNK (221 bp)	1	69212230	69212450
Chr1:69486965-69487151 UNK (187 bp)	1	69486965	69487151
Chr1:70590760-70590988 UNK (229 bp)	1	70590760	70590988
Chr1:70593274-70593486 UNK (213 bp)	1	70593274	70593486
Chr1:70735355-70735649 UNK (295 bp)	1	70735355	70735649
Chr1:70736456-70736773 UNK (318 bp)	1	70736456	70736773
Chr1:70814564-70814942 UNK (379 bp)	1	70814564	70814942
Chr1:71111329-71111508 UNK (180 bp)	1	71111329	71111508
Chr1:71889944-71890166 UNK (223 bp)	1	71889944	71890166
Chr1:72391647-72391828 UNK (182 bp)	1	72391647	72391828
Chr1:72984742-72984964 UNK (223 bp)	1	72984742	72984964
Chr1:73083637-73083873 UNK (237 bp)	1	73083637	73083873
Chr1:74446309-74446472 UNK (164 bp)	1	74446309	74446472
Chr1:74449685-74449982 UNK (298 bp)	1	74449685	74449982
Chr1:74500369-74500594 UNK (226 bp)	1	74500369	74500594
Chr1:75109095-75109264 UNK (170 bp)	1	75109095	75109264
Chr1:75180742-75180920 UNK (179 bp)	1	75180742	75180920
Chr1:75384409-75384611 UNK (203 bp)	1	75384409	75384611
Chr1:75479269-75479444 UNK (176 bp)	1	75479269	75479444
Chr1:75482219-75482411 UNK (193 bp)	1	75482219	75482411
Chr1:75681350-75681595 UNK (246 bp)	1	75681350	75681595
Chr1:76341870-76342079 UNK (210 bp)	1	76341870	76342079
Chr1:76486738-76486922 UNK (185 bp)	1	76486738	76486922
Chr1:76665189-76665367 UNK (179 bp)	1	76665189	76665367
Chr1:76914811-76915186 UNK (376 bp)	1	76914811	76915186
Chr1:77002720-77002996 UNK (277 bp)	1	77002720	77002996
Chr1:77110927-77111117 UNK (191 bp)	1	77110927	77111117
Chr1:77402311-77402821 UNK (511 bp)	1	77402311	77402821
Chr1:77746630-77746822 UNK (193 bp)	1	77746630	77746822
Chr1:77870624-77870835 UNK (212 bp)	1	77870624	77870835
Chr1:77899192-77899479 UNK (288 bp)	1	77899192	77899479
Chr1:78580105-78580521 UNK (417 bp)	1	78580105	78580521
Chr1:78848100-78848299 UNK (200 bp)	1	78848100	78848299
Chr1:78848804-78848985 UNK (182 bp)	1	78848804	78848985
Chr1:78850383-78850635 UNK (253 bp)	1	78850383	78850635
Chr1:79014676-79014859 UNK (184 bp)	1	79014676	79014859
Chr1:79169977-79170248 UNK (272 bp)	1	79169977	79170248
Chr1:79489711-79489964 UNK (254 bp)	1	79489711	79489964
Chr1:79491837-79492151 UNK (315 bp)	1	79491837	79492151
Chr1:79512220-79512407 UNK (188 bp)	1	79512220	79512407
Chr1:79639781-79640054 UNK (274 bp)	1	79639781	79640054
Chr1:80335432-80335611 UNK (180 bp)	1	80335432	80335611
Chr1:80514126-80514324 UNK (199 bp)	1	80514126	80514324
Chr1:80701851-80702157 UNK (307 bp)	1	80701851	80702157
Chr1:80734665-80734845 UNK (181 bp)	1	80734665	80734845
Chr1:80942129-80942354 UNK (226 bp)	1	80942129	80942354
Chr1:80942654-80942843 UNK (190 bp)	1	80942654	80942843
Chr1:80943243-80943440 UNK (198 bp)	1	80943243	80943440
Chr1:80947403-80947674 UNK (272 bp)	1	80947403	80947674
Chr1:80948464-80948640 UNK (177 bp)	1	80948464	80948640
Chr1:81178721-81178990 UNK (270 bp)	1	81178721	81178990
Chr1:82069301-82069520 UNK (220 bp)	1	82069301	82069520
Chr1:82252523-82252708 UNK (186 bp)	1	82252523	82252708
Chr1:83171696-83171889 UNK (194 bp)	1	83171696	83171889
Chr1:83171989-83172234 UNK (246 bp)	1	83171989	83172234
Chr1:83354123-83354360 UNK (238 bp)	1	83354123	83354360
Chr1:83354615-83354800 UNK (186 bp)	1	83354615	83354800
Chr1:84053149-84053512 UNK (364 bp)	1	84053149	84053512
Chr1:84054952-84055140 UNK (189 bp)	1	84054952	84055140
Chr1:84057937-84058157 UNK (221 bp)	1	84057937	84058157
Chr1:84230368-84230575 UNK (208 bp)	1	84230368	84230575
Chr1:84233245-84233455 UNK (211 bp)	1	84233245	84233455
Chr1:84233841-84234146 UNK (306 bp)	1	84233841	84234146
Chr1:85443319-85443504 UNK (186 bp)	1	85443319	85443504
Chr1:85646168-85646389 UNK (222 bp)	1	85646168	85646389
Chr1:85830036-85830264 UNK (229 bp)	1	85830036	85830264
Chr1:85872029-85872208 UNK (180 bp)	1	85872029	85872208
Chr1:86166109-86166405 UNK (297 bp)	1	86166109	86166405
Chr1:86182294-86182476 UNK (183 bp)	1	86182294	86182476
Chr1:86408090-86408204 UNK (115 bp)	1	86408090	86408204
Chr1:86467602-86467848 UNK (247 bp)	1	86467602	86467848
Chr1:86611648-86611826 UNK (179 bp)	1	86611648	86611826
Chr1:86673389-86673488 UNK (100 bp)	1	86673389	86673488
Chr1:86681363-86681540 UNK (178 bp)	1	86681363	86681540
Chr1:86816322-86816580 UNK (259 bp)	1	86816322	86816580
Chr1:86899132-86899412 UNK (281 bp)	1	86899132	86899412
Chr1:88345159-88345447 UNK (289 bp)	1	88345159	88345447
Chr1:88347650-88347853 UNK (204 bp)	1	88347650	88347853
Chr1:89750266-89750518 UNK (253 bp)	1	89750266	89750518
Chr1:90057632-90057804 UNK (173 bp)	1	90057632	90057804
Chr1:90058176-90058436 UNK (261 bp)	1	90058176	90058436
Chr1:90059837-90060069 UNK (233 bp)	1	90059837	90060069
Chr1:90171544-90171745 UNK (202 bp)	1	90171544	90171745
Chr1:90172542-90172762 UNK (221 bp)	1	90172542	90172762
Chr1:90216941-90217152 UNK (212 bp)	1	90216941	90217152
Chr1:90893626-90893933 UNK (308 bp)	1	90893626	90893933
Chr1:91001225-91001453 UNK (229 bp)	1	91001225	91001453
Chr1:91159279-91159508 UNK (230 bp)	1	91159279	91159508
Chr1:91185959-91186138 UNK (180 bp)	1	91185959	91186138
Chr1:91214167-91214397 UNK (231 bp)	1	91214167	91214397
Chr1:91293033-91293280 UNK (248 bp)	1	91293033	91293280
Chr1:91426416-91426596 UNK (181 bp)	1	91426416	91426596
Chr1:91445498-91445685 UNK (188 bp)	1	91445498	91445685
Chr1:91600376-91600484 UNK (109 bp)	1	91600376	91600484
Chr1:91663728-91663936 UNK (209 bp)	1	91663728	91663936
Chr1:92233891-92234093 UNK (203 bp)	1	92233891	92234093
Chr1:92382703-92382999 UNK (297 bp)	1	92382703	92382999
Chr1:92547293-92547513 UNK (221 bp)	1	92547293	92547513
Chr1:92595016-92595226 UNK (211 bp)	1	92595016	92595226
Chr1:93405905-93406138 UNK (234 bp)	1	93405905	93406138
Chr1:93469276-93469560 UNK (285 bp)	1	93469276	93469560
Chr1:93510365-93510545 UNK (181 bp)	1	93510365	93510545
Chr1:93786022-93786196 UNK (175 bp)	1	93786022	93786196
Chr1:93911572-93911811 UNK (240 bp)	1	93911572	93911811
Chr1:94453333-94453597 UNK (265 bp)	1	94453333	94453597
Chr1:94507921-94508211 UNK (291 bp)	1	94507921	94508211
Chr1:94510253-94510518 UNK (266 bp)	1	94510253	94510518
Chr1:94657487-94657680 UNK (194 bp)	1	94657487	94657680
Chr1:94717827-94717909 UNK (83 bp)	1	94717827	94717909
Chr1:95161715-95161939 UNK (225 bp)	1	95161715	95161939
Chr1:95297773-95297960 UNK (188 bp)	1	95297773	95297960
Chr1:96053209-96053432 UNK (224 bp)	1	96053209	96053432
Chr1:96173190-96173472 UNK (283 bp)	1	96173190	96173472
Chr1:96173790-96174014 UNK (225 bp)	1	96173790	96174014
Chr1:96224009-96224243 UNK (235 bp)	1	96224009	96224243
Chr1:96245096-96245343 UNK (248 bp)	1	96245096	96245343
Chr1:96245695-96245914 UNK (220 bp)	1	96245695	96245914
Chr1:96434413-96434633 UNK (221 bp)	1	96434413	96434633
Chr1:96606430-96606683 UNK (254 bp)	1	96606430	96606683
Chr1:96855208-96855521 UNK (314 bp)	1	96855208	96855521
Chr1:96856441-96856688 UNK (248 bp)	1	96856441	96856688
Chr1:96858692-96858969 UNK (278 bp)	1	96858692	96858969
Chr1:97288248-97288465 UNK (218 bp)	1	97288248	97288465
Chr1:97394062-97394275 UNK (214 bp)	1	97394062	97394275
Chr1:97557009-97557220 UNK (212 bp)	1	97557009	97557220
Chr1:97584170-97584459 UNK (290 bp)	1	97584170	97584459
Chr1:97705603-97705811 UNK (209 bp)	1	97705603	97705811
Chr1:98629405-98629656 UNK (252 bp)	1	98629405	98629656
Chr1:98878601-98878770 UNK (170 bp)	1	98878601	98878770
Chr1:99339415-99339644 UNK (230 bp)	1	99339415	99339644
Chr1:99353944-99354231 UNK (288 bp)	1	99353944	99354231
Chr1:99511093-99511345 UNK (253 bp)	1	99511093	99511345
Chr1:100665203-100665670 UNK (468 bp)	1	100665203	100665670
Chr1:100677844-100678135 UNK (292 bp)	1	100677844	100678135
Chr1:101786295-101786559 UNK (265 bp)	1	101786295	101786559
Chr1:101786779-101787032 UNK (254 bp)	1	101786779	101787032
Chr1:101888655-101888867 UNK (213 bp)	1	101888655	101888867
Chr1:102343302-102343528 UNK (227 bp)	1	102343302	102343528
Chr1:102462260-102462455 UNK (196 bp)	1	102462260	102462455
Chr1:102702210-102702423 UNK (214 bp)	1	102702210	102702423
Chr1:102930979-102931206 UNK (228 bp)	1	102930979	102931206
Chr1:103486904-103487117 UNK (214 bp)	1	103486904	103487117
Chr1:103924874-103925130 UNK (257 bp)	1	103924874	103925130
Chr1:104115299-104115531 UNK (233 bp)	1	104115299	104115531
Chr1:104217086-104217325 UNK (240 bp)	1	104217086	104217325
Chr1:104218369-104218720 UNK (352 bp)	1	104218369	104218720
Chr1:104659531-104659703 UNK (173 bp)	1	104659531	104659703
Chr1:105306048-105306461 UNK (414 bp)	1	105306048	105306461
Chr1:105578039-105578234 UNK (196 bp)	1	105578039	105578234
Chr1:105819692-105819927 UNK (236 bp)	1	105819692	105819927
Chr1:105820529-105820750 UNK (222 bp)	1	105820529	105820750
Chr1:105949477-105949645 UNK (169 bp)	1	105949477	105949645
Chr1:106239721-106239914 UNK (194 bp)	1	106239721	106239914
Chr1:106596583-106596765 UNK (183 bp)	1	106596583	106596765
Chr1:106951417-106951584 UNK (168 bp)	1	106951417	106951584
Chr1:107520596-107520772 UNK (177 bp)	1	107520596	107520772
Chr1:108162623-108162929 UNK (307 bp)	1	108162623	108162929
Chr1:108166039-108166354 UNK (316 bp)	1	108166039	108166354
Chr1:108167216-108167691 UNK (476 bp)	1	108167216	108167691
Chr1:108494772-108494974 UNK (203 bp)	1	108494772	108494974
Chr1:109748200-109748386 UNK (187 bp)	1	109748200	109748386
Chr1:110026076-110026347 UNK (272 bp)	1	110026076	110026347
Chr1:110931255-110931591 UNK (337 bp)	1	110931255	110931591
Chr1:111058400-111058646 UNK (247 bp)	1	111058400	111058646
Chr1:111059440-111059688 UNK (249 bp)	1	111059440	111059688
Chr1:111076122-111076361 UNK (240 bp)	1	111076122	111076361
Chr1:112158511-112158696 UNK (186 bp)	1	112158511	112158696
Chr1:112214674-112214866 UNK (193 bp)	1	112214674	112214866
Chr1:112222166-112222388 UNK (223 bp)	1	112222166	112222388
Chr1:112288781-112289020 UNK (240 bp)	1	112288781	112289020
Chr1:112854106-112854367 UNK (262 bp)	1	112854106	112854367
Chr1:113342792-113343128 UNK (337 bp)	1	113342792	113343128
Chr1:113359763-113359951 UNK (189 bp)	1	113359763	113359951
Chr1:113360068-113360450 UNK (383 bp)	1	113360068	113360450
Chr1:113361909-113362175 UNK (267 bp)	1	113361909	113362175
Chr1:113413175-113413347 UNK (173 bp)	1	113413175	113413347
Chr1:113571879-113572105 UNK (227 bp)	1	113571879	113572105
Chr1:113599857-113600030 UNK (174 bp)	1	113599857	113600030
Chr1:113633914-113634190 UNK (277 bp)	1	113633914	113634190
Chr1:113635304-113635626 UNK (323 bp)	1	113635304	113635626
Chr1:113635779-113636068 UNK (290 bp)	1	113635779	113636068
Chr1:114184661-114184884 UNK (224 bp)	1	114184661	114184884
Chr1:114186515-114186759 UNK (245 bp)	1	114186515	114186759
Chr1:114244308-114244500 UNK (193 bp)	1	114244308	114244500
Chr1:114791066-114791282 UNK (217 bp)	1	114791066	114791282
Chr1:114934342-114934588 UNK (247 bp)	1	114934342	114934588
Chr1:115016083-115016314 UNK (232 bp)	1	115016083	115016314
Chr1:115149891-115150094 UNK (204 bp)	1	115149891	115150094
Chr1:116055147-116055415 UNK (269 bp)	1	116055147	116055415
Chr1:116146207-116146434 UNK (228 bp)	1	116146207	116146434
Chr1:116215450-116215626 UNK (177 bp)	1	116215450	116215626
Chr1:116979822-116980063 UNK (242 bp)	1	116979822	116980063
Chr1:117171083-117171234 UNK (152 bp)	1	117171083	117171234
Chr1:117316198-117316506 UNK (309 bp)	1	117316198	117316506
Chr1:117357096-117357276 UNK (181 bp)	1	117357096	117357276
Chr1:117381607-117381805 UNK (199 bp)	1	117381607	117381805
Chr1:117724598-117724789 UNK (192 bp)	1	117724598	117724789
Chr1:117922680-117922910 UNK (231 bp)	1	117922680	117922910
Chr1:118283502-118283826 UNK (325 bp)	1	118283502	118283826
Chr1:118285748-118286036 UNK (289 bp)	1	118285748	118286036
Chr1:118354059-118354249 UNK (191 bp)	1	118354059	118354249
Chr1:118422888-118423129 UNK (242 bp)	1	118422888	118423129
Chr1:118551143-118551328 UNK (186 bp)	1	118551143	118551328
Chr1:118571908-118572243 UNK (336 bp)	1	118571908	118572243
Chr1:118576124-118576368 UNK (245 bp)	1	118576124	118576368
Chr1:118642906-118643076 UNK (171 bp)	1	118642906	118643076
Chr1:118680011-118680172 UNK (162 bp)	1	118680011	118680172
Chr1:119026005-119026213 UNK (209 bp)	1	119026005	119026213
Chr1:119152649-119152905 UNK (257 bp)	1	119152649	119152905
Chr1:119172333-119172574 UNK (242 bp)	1	119172333	119172574
Chr1:119522614-119522814 UNK (201 bp)	1	119522614	119522814
Chr1:120484313-120484556 UNK (244 bp)	1	120484313	120484556
Chr1:120674443-120674639 UNK (197 bp)	1	120674443	120674639
Chr1:121310091-121310317 UNK (227 bp)	1	121310091	121310317
Chr1:121403553-121403786 UNK (234 bp)	1	121403553	121403786
Chr1:121536844-121537043 UNK (200 bp)	1	121536844	121537043
Chr1:121546022-121546309 UNK (288 bp)	1	121546022	121546309
Chr1:121579432-121579728 UNK (297 bp)	1	121579432	121579728
Chr1:143752823-143753008 UNK (186 bp)	1	143752823	143753008
Chr1:144990862-144991084 UNK (223 bp)	1	144990862	144991084
Chr1:145552682-145552865 UNK (184 bp)	1	145552682	145552865
Chr1:145766130-145766507 UNK (378 bp)	1	145766130	145766507
Chr1:145933102-145933238 UNK (137 bp)	1	145933102	145933238
Chr1:146722856-146723052 UNK (197 bp)	1	146722856	146723052
Chr1:147067339-147067560 UNK (222 bp)	1	147067339	147067560
